,v2_term_x,description,v3_term,v2_term_y,unk,icd10_term,snomed_concept_id
0,124G.,FH: Neoplasm of CNS,YalRm,.124G,XaIpV,Z820,297240003
1,124G.,FH: Neoplasm of CNS,YalRm,.124G,XaIpV,Z820,266891008
2,124G.,FH: Neoplasm of CNS,YalRm,124G.,XaIpV,Z820,297240003
3,124G.,FH: Neoplasm of CNS,YalRm,124G.,XaIpV,Z820,266891008
4,129..,FH: CNS disorder,Ya01K,.129.,XE0oC,Z820,297240003
5,129..,FH: CNS disorder,Ya01K,.129.,XE0oC,Z820,266891008
6,129..,FH: CNS disorder,Ya01K,129..,XE0oC,Z820,297240003
7,129..,FH: CNS disorder,Ya01K,129..,XE0oC,Z820,266891008
8,1292.,FH: Multiple sclerosis,Ya01M,.1292,1292.,Z820,297240003
9,1292.,FH: Multiple sclerosis,Ya01M,.1292,1292.,Z820,266891008
10,1293.,FH: Hemiplegia,Ya01N,.1293,1293.,Z820,297240003
11,1293.,FH: Hemiplegia,Ya01N,.1293,1293.,Z820,266891008
12,1294.,FH: Paraplegia,Ya01O,.1294,1294.,Z820,297240003
13,1294.,FH: Paraplegia,Ya01O,.1294,1294.,Z820,266891008
14,1295.,FH: Infantile cerebral palsy,Ya01P,.1295,1295.,Z820,297240003
15,1295.,FH: Infantile cerebral palsy,Ya01P,.1295,1295.,Z820,266891008
16,1296.,FH: Epilepsy,Ya01Q,.1296,1296.,Z820,297240003
17,1296.,FH: Epilepsy,Ya01Q,.1296,1296.,Z820,266891008
18,1297.,FH: Migraine,Ya01R,.1297,1297.,Z820,297240003
19,1297.,FH: Migraine,Ya01R,.1297,1297.,Z820,266891008
20,1298.,FH: Muscular dystrophy,Ya01S,.1298,1298.,Z820,297240003
21,1298.,FH: Muscular dystrophy,Ya01S,.1298,1298.,Z820,266891008
22,1299.,FH: Motor neurone disease,Ya01T,.1299,1299.,Z820,297240003
23,1299.,FH: Motor neurone disease,Ya01T,.1299,1299.,Z820,266891008
24,129B.,FH: Alzheimer's disease,YalHG,.129B,XaIkh,Z820,297240003
25,129B.,FH: Alzheimer's disease,YalHG,.129B,XaIkh,Z820,266891008
26,129B.,FH: Alzheimer's disease,YalHG,129B.,XaIkh,Z820,297240003
27,129B.,FH: Alzheimer's disease,YalHG,129B.,XaIkh,Z820,266891008
28,129Z.,FH: CNS disorder NOS,Ya01U,.129Z,XE0oD,Z820,297240003
29,129Z.,FH: CNS disorder NOS,Ya01U,.129Z,XE0oD,Z820,266891008
30,129Z.,FH: CNS disorder NOS,Ya01U,129Z.,XE0oD,Z820,297240003
31,129Z.,FH: CNS disorder NOS,Ya01U,129Z.,XE0oD,Z820,266891008
32,ZV172,[V]Family history of Huntingdon's chorea,YMKPW,ZV172,ZV172,Z820,297240003
33,ZV172,[V]Family history of Huntingdon's chorea,YMKPW,ZV172,ZV172,Z820,266891008
34,124K.,FH: neoplasm of lung,YawBx,124K.,Xa6ap,Z801,430677003
35,124M.,FH: Squamous cell carcinoma of skin,YawER,124M.,XaaMi,Z808,428935009
36,12A..,FH: Eye disorder,Ya01V,.12A.,12A..,Z808,428935009
37,125..,FH: Endocrine disorders,Ya00m,.125.,125..,Z834,473070008
38,1251.,FH: Thyroid disorder,Ya00n,.1251,1251.,Z834,473070008
39,126..,FH: Metabolic disorder,Ya00q,.126.,126..,Z834,473070008
40,1261.,FH: Nutritional deficiency,Ya00r,.1261,1261.,Z834,473070008
41,1262.,FH: Raised blood lipids,Ya00s,.1262,XE0o8,Z834,473070008
42,1262.,FH: Raised blood lipids,Ya00s,1262.,XE0o8,Z834,473070008
43,1262.,FH: Fats raised,Ya0Un,1262.,XE0o8,Z834,473070008
44,1262.,FH: Triglyceride high,Ya0Uo,1262.,XM1Y5,Z834,473070008
45,1264.,FH: Cystic fibrosis,Ya00u,.1264,1264.,Z834,473070008
46,1265.,FH: Porphyria,Ya00v,.1265,1265.,Z834,473070008
47,1266.,FH: Obesity,Ya00w,.1266,1266.,Z834,473070008
48,1267.,FH: Cholinesterase deficiency,Ya00x,.1267,1267.,Z834,473070008
49,126A.,FH: Haemochromatosis,YalkS,.126A,XaIyI,Z834,473070008
50,126A.,FH: Haemochromatosis,YalkS,126A.,XaIyI,Z834,473070008
51,126B.,FH: Hypercholesterolaemia in first degree relative,YansM,126B.,XaKZ0,Z834,473070008
52,12F6.,FH: Early menarche,Ya027,.12F6,12F6.,Z834,473070008
53,12F7.,FH: Late menarche,Ya028,.12F7,12F7.,Z834,473070008
54,12F8.,FH: Early menopause,Ya029,.12F8,12F8.,Z834,473070008
55,12FA.,FH: Polycystic ovaries,Yame3,.12FA,XaJZG,Z834,473070008
56,12FA.,FH: Polycystic ovaries,Yame3,12FA.,XaJZG,Z834,473070008
57,1263.,FH: Gout,Ya00t,.1263,1263.,Z826,316836003
58,1268.,FH: Osteoporosis,Ya00y,.1268,1268.,Z826,316836003
59,12I..,FH: Musculoskeletal disease,Ya02O,.12I.,XE0oS,Z826,316836003
60,12I..,FH: Musculoskeletal disease,Ya02O,12I..,XE0oS,Z826,316836003
61,12I..,FH: Arthritis,Ya0Vc,.12I.,XM1K9,Z826,316836003
62,12I..,FH: Arthritis,Ya0Vc,12I..,XM1K9,Z826,316836003
63,12I..,FH: Orthopaedic disorder,Ya0Vd,.12I.,XE0oS,Z826,316836003
64,12I..,FH: Orthopaedic disorder,Ya0Vd,12I..,XE0oS,Z826,316836003
65,12I1.,FH: Rheumatoid arthritis,Ya02P,.12I1,12I1.,Z826,316836003
66,12I2.,FH: Osteoarthritis,Ya02Q,.12I2,12I2.,Z826,316836003
67,12I3.,FH: Scleroderma,Ya02R,.12I3,12I3.,Z826,316836003
68,12I6.,FH: Fragility fracture,Yakwc,.12I6,XaIUG,Z826,316836003
69,12I6.,FH: Fragility fracture,Yakwc,12I6.,XaIUG,Z826,316836003
70,12I7.,FH: Ankylosing spondylitis,YalMI,.12I7,XaInZ,Z826,316836003
71,12I7.,FH: Ankylosing spondylitis,YalMI,12I7.,XaInZ,Z826,316836003
72,12IZ.,FH: Musculo-skeletal dis. NOS,Ya02S,.12IZ,12IZ.,Z826,316836003
73,1277.,Family history of pernicious anaemia,YaThE,1277.,Xa6ak,N832,116341001
74,1277.,Family history of pernicious anaemia,YaThE,1277.,Xa6ak,N832,237060003
75,K53..,Ovarian cysts,YMInE,.J63.,X406j,N832,116341001
76,K53..,Ovarian cysts,YMInE,.J63.,X406j,N832,237060003
77,K532z,Ovarian cyst NOS,Y40TG,.J63Z,K532z,N832,116341001
78,K532z,Ovarian cyst NOS,Y40TG,.J63Z,K532z,N832,237060003
79,128..,FH: Mental disorder,YMJg3,.128.,128..,Z818,266969002
80,128..,FH: Mental disorder,YMJg3,128..,128..,Z818,266969002
81,1281.,FH: Senile dementia,Ya01A,.1281,1281.,Z818,266969002
82,1284.,FH: Schizophrenia,Ya01D,.1284,1284.,Z818,266969002
83,1285.,FH: Depression,Ya01E,.1285,1285.,Z818,266969002
84,1287.,FH: Manic depressive state,Ya01G,.1287,1287.,Z818,266969002
85,1287.,FH: Manic depressive state,Ya01G,1287.,1287.,Z818,266969002
86,1288.,FH: Anxiety state,Ya01H,.1288,1288.,Z818,266969002
87,1289.,FH: Suicide,Ya01I,.1289,1289.,Z818,266969002
88,12G3.,FH: Puerperal depression,Ya02F,.12G3,12G3.,Z818,266969002
89,12W..,Family history of development disorder,Yamnh,12W..,XaJic,Z818,266969002
90,12W0.,Family history of autism,Yamnj,.12W0,XaJid,Z818,266969002
91,12W0.,Family history of autism,Yamnj,12W0.,XaJid,Z818,266969002
92,12W2.,Family history of learning disability,YaTgo,12W2.,XM1Je,Z818,266969002
93,13L3.,Relative - psychotic illness,Y7DiT,.13L3,XE0pg,Z818,266969002
94,13L3.,Relative - psychotic illness,Y7DiT,13L3.,XE0pg,Z818,266969002
95,13MB.,Suicide of close relative,Y7DiC,.13MB,13MB.,Z818,266969002
96,1283.,FH: Drug dependency,Ya01C,.1283,1283.,Z813,429399002
97,1283.,FH: Drug dependency,Ya01C,.1283,1283.,Z813,315867009
98,12X1.,Both parents misuse drugs,Yarpe,.12X1,XaPDU,Z813,429399002
99,12X1.,Both parents misuse drugs,Yarpe,.12X1,XaPDU,Z813,315867009
100,12X1.,Both parents misuse drugs,Yarpe,12X1.,XaPDU,Z813,429399002
101,12X1.,Both parents misuse drugs,Yarpe,12X1.,XaPDU,Z813,315867009
102,ZV1A3,[V]Maternal family history of drug addiction,Yadv9,ZV1A3,XaDt2,Z813,429399002
103,ZV1A3,[V]Maternal family history of drug addiction,Yadv9,ZV1A3,XaDt2,Z813,315867009
104,12B1.,FH: Deafness,Ya01c,.12B1,12B1.,Z822,416291000000108
105,12C..,FH: Cardiovascular disease,Ya01f,.12C.,XE0oF,Z824,416291000000108
106,12C..,FH: Cardiovascular disease,Ya01f,.12C.,XE0oF,Z824,413302005
107,12C..,FH: Cardiovascular disease,Ya01f,.12C.,XE0oF,Z824,315622004
108,12C..,FH: Cardiovascular disease,Ya01f,12C..,XE0oF,Z824,416291000000108
109,12C..,FH: Cardiovascular disease,Ya01f,12C..,XE0oF,Z824,413302005
110,12C..,FH: Cardiovascular disease,Ya01f,12C..,XE0oF,Z824,315622004
111,12C..,FH: CVS disorder,Ya0V6,.12C.,XE0oF,Z824,416291000000108
112,12C..,FH: CVS disorder,Ya0V6,.12C.,XE0oF,Z824,413302005
113,12C..,FH: CVS disorder,Ya0V6,.12C.,XE0oF,Z824,315622004
114,12C..,FH: CVS disorder,Ya0V6,12C..,XE0oF,Z824,416291000000108
115,12C..,FH: CVS disorder,Ya0V6,12C..,XE0oF,Z824,413302005
116,12C..,FH: CVS disorder,Ya0V6,12C..,XE0oF,Z824,315622004
117,12C..,FH: Cardiac disorder,Ya0V5,12C..,XM1Jv,Z824,416291000000108
118,12C..,FH: Cardiac disorder,Ya0V5,12C..,XM1Jv,Z824,413302005
119,12C..,FH: Cardiac disorder,Ya0V5,12C..,XM1Jv,Z824,315622004
120,12C..,FH: Heart disorder,Ya0V7,12C..,XE0oF,Z824,416291000000108
121,12C..,FH: Heart disorder,Ya0V7,12C..,XE0oF,Z824,413302005
122,12C..,FH: Heart disorder,Ya0V7,12C..,XE0oF,Z824,315622004
123,12C1.,FH: Hypertension,Ya01g,.12C1,12C1.,Z824,416291000000108
124,12C1.,FH: Hypertension,Ya01g,.12C1,12C1.,Z824,413302005
125,12C1.,FH: Hypertension,Ya01g,.12C1,12C1.,Z824,315622004
126,12C2.,FH: Ischaemic heart dis. <60,Ya01h,.12C2,XE0oG,Z824,416291000000108
127,12C2.,FH: Ischaemic heart dis. <60,Ya01h,.12C2,XE0oG,Z824,413302005
128,12C2.,FH: Ischaemic heart dis. <60,Ya01h,.12C2,XE0oG,Z824,315622004
129,12C2.,FH: Ischaemic heart dis. <60,Ya01h,12C2.,XE0oG,Z824,416291000000108
130,12C2.,FH: Ischaemic heart dis. <60,Ya01h,12C2.,XE0oG,Z824,413302005
131,12C2.,FH: Ischaemic heart dis. <60,Ya01h,12C2.,XE0oG,Z824,315622004
132,12C2.,FH: Myocardial infarction < 60,Ya0VB,12C2.,XM1Jx,Z824,416291000000108
133,12C2.,FH: Myocardial infarction < 60,Ya0VB,12C2.,XM1Jx,Z824,413302005
134,12C2.,FH: Myocardial infarction < 60,Ya0VB,12C2.,XM1Jx,Z824,315622004
135,12C3.,FH: Ischaemic heart dis. >60,Ya01i,.12C3,XE0oH,Z824,416291000000108
