,v2_term_x,description,v3_term,v2_term_y,unk,icd10_term,snomed_concept_id,icd10_code,category,concept_id_ph,concept_version_id_ph,phenotype_id,phenotype_version_id,phenotype_name,disease,description_ph
0,246M.,White coat hypertension,Ya1FL,.246M,XaIWn,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
1,246M.,White coat hypertension,Ya1FL,.246M,XaIWn,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
2,246M.,White coat hypertension,Ya1FL,246M.,XaIWn,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
3,246M.,White coat hypertension,Ya1FL,246M.,XaIWn,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
4,246M.,White coat hypertension,Ya1FL,Xa0Cs,XaIWn,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
5,246M.,White coat hypertension,Ya1FL,Xa0Cs,XaIWn,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
6,G2...,Hypertensive disease,Y200a,.G3..,G2...,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
7,G2...,Hypertensive disease,Y200a,.G3..,G2...,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
8,G2...,BP - hypertensive disease,Y200Z,G2...,XE0Ub,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
9,G2...,BP - hypertensive disease,Y200Z,G2...,XE0Ub,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
10,G2...,BP - hypertensive disease,Y200Z,G2...,G2...,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
11,G2...,BP - hypertensive disease,Y200Z,G2...,G2...,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
12,G20..,Essential hypertension,Y200f,.G31.,XE0Uc,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
13,G20..,Essential hypertension,Y200f,.G31.,XE0Uc,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
14,G20..,Essential hypertension,Y200f,G20..,XE0Uc,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
15,G20..,Essential hypertension,Y200f,G20..,XE0Uc,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
16,G203.,Diastolic hypertension,YSLZr,G203.,XSDSb,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
17,G203.,Diastolic hypertension,YSLZr,G203.,XSDSb,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
18,G20z.,Essential hypertension NOS,Y200i,G20z.,XE0Ud,I10X,397748008,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
19,G20z.,Essential hypertension NOS,Y200i,G20z.,XE0Ud,I10X,140131000119102,I10,Hypertension (3),C1229,3597,PH189,378,Hypertension,Hypertension,Essential (primary) hypertension
